Company_Name,Job_Role,Experience,Location,Salary,Date_posted,Review,Rating
Rebutor Electronics Pvt.Ltd,Sales Coordinator,2-7 Yrs,Bangalore/Bengaluru(Garudachar Palya +7),Not disclosed,8 Days Ago,4 Reviews,3.3
Global Serve Solutions,Inbound Voice-Hindi Speaking is a must-CTC Upto 3L-Leading MNC Bank,0-4 Yrs,Bangalore/Bengaluru(Whitefield),2.75-3 Lacs PA,7 Days Ago,,
Societe Generale Global Solution Centre,Power Platform - Azure-Artificial Intelligence -Bangalore,6-11 Yrs,Bengaluru(ITPL),Not disclosed,7 Days Ago,2533 Reviews,3.7
Societe Generale Global Solution Centre,AI Ops/ AI Engineer -Azure / Devops - Bangalore,5-10 Yrs,Hybrid - Bengaluru(ITPL),Not disclosed,7 Days Ago,2533 Reviews,3.7
Societe Generale Global Solution Centre,Deep Learning / LLM Development/Artificial Intelligence - Bangalore,4-9 Yrs,Bengaluru(ITPL),Not disclosed,7 Days Ago,2533 Reviews,3.7
CK Syndicates,Tele Caller - English Voice Process,0-1 Yrs,Bengaluru(Vijay Nagar +1),1.75-2.25 Lacs PA,8 Days Ago,,
IPEC India,Project Management Lead,6-10 Yrs,Bengaluru(Whitefield),Not disclosed,8 Days Ago,25 Reviews,3.6
Client of VSquare Consultants,"CRM & Operations Specialist-Leading Luxury Retail MNC, Bangalore",3-7 Yrs,Bengaluru(Marathahalli),12-13 Lacs PA,8 Days Ago,,
Soft Suave,UI/UX Designer (Work from Office) - (Only Males) - Walkin Interview,16 Apr - 17 Apr,Bengaluru(Whitefield),2-2.75 Lacs PA,Just Now,56 Reviews,3.5
Talent Sketchers,Photoshop Editor,1-6 Yrs,Bengaluru(Old Airport Road +3),1.5-4 Lacs PA,10 Days Ago,,
RIVERA MANPOWER SERVICE,JPMC Hiring/ Mini 1yr International Voice exp/US Shifts/ Upto 7.5L,1-6 Yrs,Bengaluru(Bellandur +1),3-7.5 Lacs PA,10 Days Ago,,
Square Foot,Urgent job hiring - Interior designer,2-7 Yrs,Bengaluru(Shivaji Nagar +1),Not disclosed,10 Days Ago,68 Reviews,3.2
Multinational Company,Claims Associate,1-5 Yrs,Bengaluru(Brookefield),3-4.5 Lacs PA,10 Days Ago,,
